customer_id,date,annual_income,purpose_of_travel,travel_frequency,transport_flight,transport_train,transport_car_rental,transport_cruise,transport_other,travel_domestic,travel_international,travel_luxury_resort,travel_spa_relaxation,travel_activity_outdoor,travel_cultural_history,travel_cruise,travel_budget,info_email,info_social_media,info_storefront,info_phone_call
00002971,2012/9/27,0,2,1,,1,1,,,1,0,1,1,1,0,0,1,1,0,0,0
00001951,2011/11/13,,2,0,,1,1,,,0,0,1,1,1,1,0,1,0,1,0,0
00001340,2017/10/22,,0,1,1,1,1,,,1,0,1,1,1,0,0,1,0,0,0,0
00005312,2022/6/7,0,0,0,,1,1,,,1,0,1,1,1,0,0,1,0,1,0,0
00005050,2018/2/10,,1,0,,1,,,,1,0,1,1,1,0,0,1,0,0,0,0
00003030,2013/9/18,0,2,4,,1,1,,,1,0,1,0,1,0,0,1,0,1,0,0
00001178,2015/3/7,1108000,2,2,,1,1,,,0,1,1,1,1,0,0,1,0,1,0,0
00004731,2010/2/23,0,2,0,,,1,,,1,0,1,1,1,1,0,1,1,0,0,0
00002900,2010/7/6,10195000,0,0,,1,1,,,1,0,0,0,1,0,0,1,1,1,0,0
00006228,2012/10/27,191000,2,0,,1,1,,,1,0,1,1,1,1,0,1,1,0,0,0
00008223,2017/9/10,0,2,2,,1,1,,,1,0,0,1,1,0,0,1,1,1,0,0
00000862,2016/2/16,5102000,2,2,1,1,1,,,1,0,1,1,1,0,0,1,1,1,0,0
00001859,2020/11/21,0,0,0,,1,1,,,1,1,0,1,1,1,0,1,0,1,0,0
00002053,2014/10/9,4184000,1,2,,1,1,,,0,0,1,1,1,0,0,1,0,1,0,0
00005765,2012/1/15,0,2,0,,1,,,,1,1,0,1,1,0,0,1,0,1,0,0
00008374,2022/3/30,0,2,0,,1,,,,0,0,1,1,1,0,0,1,1,1,0,0
00007467,2012/2/8,171000,0,0,,1,1,,,0,1,1,1,1,0,0,1,0,0,0,0
00000874,2020/3/17,0,2,1,,1,1,,,0,0,1,0,1,0,0,1,0,1,0,0
00003375,2012/10/5,0,0,2,,,1,,,1,0,1,1,1,1,0,1,1,1,0,0
00000385,2014/7/30,15118000,2,2,,,1,,,1,1,1,0,1,1,0,1,0,1,0,0
00008742,2011/9/2,0,2,2,1,1,1,,,1,1,1,1,1,1,0,1,1,1,0,0
00007327,2022/10/3,5109000,2,2,,1,,,,1,1,1,0,1,1,0,1,1,1,0,0
00008050,2013/9/23,,1,2,,1,1,,,1,0,1,1,1,0,0,1,1,1,0,0
00009112,2015/5/21,0,2,2,,1,1,,,1,0,1,1,1,1,0,1,0,1,0,0
00008827,2018/8/3,12180000,0,2,,1,1,,,1,0,1,0,1,0,0,1,0,1,0,0
00000389,2010/8/25,0,2,0,,1,1,,,0,1,1,1,1,0,0,1,0,1,0,0
00000801,2022/10/2,0,0,2,,,,,,0,0,1,1,1,0,0,1,1,0,0,0
00005864,2022/3/19,0,2,0,1,1,1,,,1,0,1,1,1,0,0,1,0,1,0,0
00004522,2020/3/17,12122000,2,2,,1,,,,1,1,0,1,1,1,0,1,1,1,0,0
00005422,2011/10/30,0,2,2,,1,1,,,0,1,1,0,1,0,0,1,0,1,0,0
00001255,2017/9/23,0,2,2,,1,1,,,1,0,1,1,1,1,0,1,1,1,0,0
00001976,2014/9/29,4186000,2,0,1,,1,,,1,0,1,0,1,1,0,1,0,1,1,0
00001529,2011/1/23,,1,0,,1,1,,,1,1,1,1,1,0,0,1,1,0,0,0
00002561,2021/6/7,22161000,2,1,,1,1,,,0,0,0,0,1,0,0,1,0,1,0,0
00000621,2013/8/19,25148000,2,2,1,1,1,,,0,0,0,0,1,0,0,1,0,1,0,0
00004484,2018/4/19,0,2,2,,1,1,,,1,1,1,1,1,0,0,1,0,1,0,0
00008249,2010/10/17,0,2,4,,1,,,,1,1,0,1,1,0,0,1,1,1,1,0
00004063,2017/4/30,0,0,2,,1,1,,,0,0,1,1,1,1,0,1,0,0,0,0
00009483,2014/2/15,,2,0,,1,1,,,1,0,1,1,1,1,0,1,0,1,0,0
00006645,2014/11/26,0,2,4,,,,,,1,0,0,1,1,0,0,1,0,0,0,0
00000055,2022/6/19,0,0,2,,1,1,,,0,0,1,1,1,1,0,1,0,1,0,0
00001920,2016/10/7,0,2,0,,1,1,,,1,1,1,1,1,0,0,1,0,1,0,0
00009717,2011/9/23,0,0,2,1,,1,,,1,0,0,1,1,0,0,1,1,0,1,0
00005993,2020/8/23,0,2,2,,1,1,,,1,0,0,0,1,0,0,1,0,1,0,0
00007510,2010/1/31,12170000,0,0,,1,1,,,0,1,1,1,1,1,0,1,0,1,0,0
00004686,2018/8/13,,1,0,,1,,,,1,0,1,1,1,0,0,1,0,1,0,0
00006967,2020/3/23,18110000,2,2,,1,1,,,1,1,1,0,1,1,0,1,0,1,0,0
00003946,2012/6/23,0,2,0,,1,1,,,1,0,1,1,1,0,0,1,0,1,0,0
00000706,2015/10/29,0,2,2,,1,1,,,1,0,1,1,1,0,0,1,0,1,0,0
00006079,2014/11/11,0,2,2,,1,1,,,1,0,1,1,1,0,0,1,0,1,0,0
00005714,2015/1/5,5109000,0,0,,1,1,,,0,0,1,1,1,0,0,1,0,1,0,0
00007350,2015/1/30,0,0,1,,1,1,,,1,1,1,1,1,0,0,1,0,1,0,0
00001906,2014/6/7,1106000,0,2,,1,1,,,1,0,1,1,1,1,0,1,0,1,1,0
00000044,2018/8/25,4180000,1,0,,1,1,,,1,0,0,1,1,0,0,1,0,0,1,0
00009542,2014/12/14,1101000,2,0,,1,1,,,0,0,1,1,1,1,0,1,0,1,0,0
00001591,2014/5/29,0,2,0,,1,,,,1,0,1,1,1,0,0,1,0,1,0,0
00006825,2020/1/3,20192000,0,2,,1,,,,0,0,0,0,1,0,0,1,0,1,0,0
00001114,2021/9/4,,2,2,1,1,,,,1,0,1,1,1,1,0,1,0,1,0,0
00005816,2022/8/8,171000,0,2,,,1,,,0,0,0,0,1,0,0,1,1,0,0,0
00002184,2011/2/13,0,0,2,,1,1,,,1,1,1,1,1,0,0,1,0,1,0,0
00009708,2015/2/15,,2,2,,1,1,,,1,0,1,1,1,0,0,1,0,0,0,0
00004991,2020/6/9,0,2,2,,1,1,,,1,1,1,1,1,0,0,1,0,1,0,0
00006193,2019/6/7,0,0,2,,1,,,,0,0,1,1,1,0,0,1,0,1,0,0
00009433,2015/4/20,0,2,4,,1,1,,,1,0,1,1,1,0,0,1,0,1,0,0
00001670,2017/4/23,0,0,2,,1,1,,,1,0,1,1,1,0,0,1,0,1,0,0
00008091,2021/3/22,,1,4,,,1,,,1,0,1,1,1,0,0,1,0,0,0,0
00008730,2021/11/16,0,2,2,1,1,1,,,0,1,1,1,1,1,0,1,0,0,0,0
00002868,2012/6/27,12154000,0,0,,,1,,,1,0,0,0,1,0,0,1,0,1,0,0
00001545,2015/3/16,0,2,2,,1,1,,,1,1,1,1,1,0,0,1,1,1,0,0
00005016,2019/7/23,1121000,2,0,,1,1,,,1,0,1,1,1,0,0,1,0,1,0,0
00002587,2015/1/1,0,2,4,,1,1,,,1,0,0,1,1,0,0,1,0,1,0,0
00009714,2016/11/1,12104000,0,4,,1,1,,,1,1,1,0,0,1,0,1,1,1,1,1
00000225,2020/3/27,174000,0,0,,1,,,,1,0,1,1,0,1,0,1,0,1,0,1
00008497,2016/9/15,0,2,0,1,,1,,,1,0,0,1,0,0,0,1,1,1,0,1
00001800,2013/7/3,5102000,2,1,,1,1,,,0,1,1,0,0,1,0,1,0,1,0,1
00001164,2022/4/18,0,0,1,,1,1,,,1,0,1,1,0,0,0,1,0,1,0,1
00001077,2022/5/14,5108000,2,2,,1,1,,,1,0,1,1,0,0,0,1,0,0,0,1
00009936,2021/7/31,,2,2,,1,1,,,0,1,0,1,0,1,0,1,0,1,0,1
00009788,2010/8/3,5102000,2,2,,1,1,,,1,0,1,1,0,0,0,1,0,1,0,1
00003703,2013/6/27,,2,1,,1,1,,,1,1,1,1,0,1,0,1,0,1,0,1
00009589,2018/3/19,190000,2,0,,1,1,,,1,0,0,0,0,0,0,1,0,1,0,1
00002069,2016/12/21,5109000,0,2,1,1,1,,,1,0,1,1,0,0,0,1,0,1,0,1
00003129,2011/9/10,5104000,2,1,1,1,1,,,1,0,1,1,0,0,0,1,1,1,0,1
00009741,2014/4/22,191000,0,2,,1,,,,1,0,1,1,0,0,0,1,0,1,0,0
00002762,2021/2/9,175000,2,0,,,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00001599,2013/3/17,12100000,2,2,,1,1,,,0,0,0,0,0,0,0,1,0,1,0,0
00004377,2015/8/22,,0,2,,1,1,,,1,0,1,1,0,1,0,1,1,1,0,0
00007826,2012/11/24,,1,4,,1,1,,,1,1,1,1,0,0,0,1,0,1,0,0
00003380,2014/11/8,24177000,2,2,,1,1,,,1,0,0,0,0,0,0,1,0,1,0,0
00000863,2010/4/13,,1,2,,1,1,,,1,1,1,1,0,0,0,1,0,1,0,0
00000658,2013/2/24,0,2,2,,,1,,,0,0,1,1,0,0,0,1,0,0,0,0
00005619,2019/3/3,,2,2,1,1,1,,,1,0,1,0,0,0,0,1,0,0,0,0
00004024,2012/3/8,,2,0,,1,1,,,0,1,1,1,0,1,0,1,0,1,0,0
00007992,2016/9/26,,0,4,,1,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00009404,2015/11/12,5104000,2,0,,1,1,,,1,1,1,0,0,0,0,1,0,1,0,0
00005708,2017/8/28,0,2,2,,1,1,,,0,0,1,1,0,0,0,1,1,0,0,0
00007123,2015/11/23,4182000,2,2,1,1,1,,,1,0,0,0,0,1,0,1,0,1,0,0
00004720,2021/8/3,20108000,2,2,,1,1,,,1,0,0,0,0,0,0,1,0,1,0,0
00008305,2021/12/26,14155000,2,4,,1,,,,1,0,1,1,0,1,0,1,1,1,0,0
00002198,2015/3/3,1120000,2,1,1,1,1,,,1,0,0,0,0,1,0,1,1,1,0,0
00004765,2022/10/24,,0,4,,1,1,,,1,0,1,0,0,0,0,1,0,0,0,0
00008252,2013/2/10,19152000,0,0,1,1,1,,,0,0,1,0,0,0,0,1,0,1,0,0
00009480,2020/7/12,,2,4,,1,,,,1,0,1,1,0,0,0,1,0,1,0,0
00005866,2020/8/15,5102000,0,0,,1,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00005667,2018/7/23,,0,0,,1,1,,,0,0,1,1,0,1,0,1,0,1,0,0
00006842,2014/5/20,14150000,0,2,,1,1,,,1,0,0,1,0,0,0,1,0,1,0,0
00003755,2015/5/18,175000,0,2,,1,1,,,1,1,1,1,0,0,0,1,0,1,0,0
00002632,2020/4/19,,2,1,,1,,,,1,0,1,0,0,0,0,1,0,1,0,0
00009877,2017/7/12,21102000,2,4,,1,1,,,1,1,1,0,0,1,0,1,0,1,0,0
00006758,2012/7/26,190000,2,1,,1,1,,,0,1,1,1,0,0,0,1,0,1,0,0
00002516,2018/6/22,0,0,0,,1,,,,0,0,1,1,0,0,0,1,0,0,0,0
00005430,2017/7/1,0,2,2,,1,1,,,1,0,1,0,0,0,0,1,0,1,1,0
00003438,2020/11/23,4180000,0,2,,1,1,,,0,1,1,1,0,0,0,1,0,1,0,0
00002867,2010/2/17,,2,0,,1,1,,,1,0,1,1,0,1,0,1,0,1,0,0
00007172,2011/1/25,1106000,2,0,,1,1,,,1,0,1,0,0,1,0,1,1,1,0,0
00000617,2015/9/25,5102000,0,1,,1,1,,,0,0,1,1,0,0,0,1,0,1,0,0
00006194,2022/6/27,1100000,2,0,,1,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00000146,2012/12/29,1119000,2,0,,1,1,,,1,0,0,0,0,1,0,1,0,0,0,0
00006643,2010/2/19,0,2,4,,,1,,,0,1,1,1,0,0,0,1,0,1,0,0
00003708,2014/11/17,190000,0,2,1,1,1,,,1,1,0,1,0,0,0,1,0,1,0,0
00007933,2016/10/18,1101000,2,1,,1,,,,1,0,1,1,0,0,0,1,0,0,0,0
00003555,2017/5/23,0,0,2,,1,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00001290,2014/12/28,20158000,2,0,,1,1,,,1,0,1,0,0,0,0,1,0,1,0,0
00007201,2018/7/3,199000,2,0,,1,1,,,0,0,0,0,0,0,0,1,0,1,0,0
00004350,2011/9/14,20166000,2,0,,,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00002060,2011/1/21,1120000,2,1,,1,1,,,1,0,1,1,0,0,0,1,1,1,0,0
00009750,2020/1/31,16168000,2,2,1,1,1,,,1,0,0,0,0,0,0,1,0,1,0,0
00003777,2018/8/5,,0,2,,1,1,,,0,1,1,1,0,0,0,1,0,1,0,0
00008011,2012/11/8,1100000,2,1,,1,1,,,1,1,0,1,0,1,0,1,0,1,0,0
00002086,2017/1/19,25102000,0,2,,1,1,,,0,1,0,0,0,1,0,1,0,1,0,0
00003615,2014/6/5,5108000,0,0,,1,,,,0,0,1,1,0,1,0,1,0,1,0,0
00002220,2015/4/5,,0,1,,1,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00002082,2021/11/9,0,2,1,,1,1,,,0,0,1,1,0,0,0,1,0,1,0,0
00004889,2011/2/2,5108000,2,2,1,1,1,,,1,1,1,1,0,0,0,1,0,0,0,0
00005095,2017/4/4,5102000,0,2,,1,1,,,1,0,1,1,0,0,0,1,1,1,0,0
00007820,2015/6/16,1101000,2,2,,1,1,,,0,0,1,1,0,0,0,1,0,0,0,0
00003539,2011/6/16,5104000,2,2,,1,1,,,1,1,1,1,0,0,0,1,0,1,0,0
00005802,2012/10/8,196000,2,2,,,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00008301,2022/1/30,,0,0,,1,1,,,1,0,0,0,0,0,0,1,0,1,0,0
00002440,2021/1/24,4180000,2,2,,1,1,,,1,0,0,1,0,0,0,1,0,1,0,0
00002159,2016/4/5,172000,0,2,,1,,,,1,0,1,1,0,0,0,1,0,1,0,0
00000761,2018/10/29,0,2,0,,1,,,,0,1,1,1,0,0,0,1,0,1,0,0
00009452,2018/4/15,27187000,2,0,1,1,1,,,0,0,0,0,0,1,0,1,0,1,0,0
00001918,2017/4/24,175000,2,0,,1,1,,,0,0,1,1,0,0,0,1,1,0,0,0
00009113,2015/11/26,0,0,4,,1,,,,1,0,1,1,0,0,0,1,0,0,0,0
00005804,2016/12/14,15189000,2,2,,1,1,,,0,0,1,1,0,1,0,1,0,1,0,0
00006866,2010/4/10,2114000,2,2,,1,1,,,1,1,1,0,0,0,0,1,0,1,0,0
00003310,2010/7/27,0,2,4,,1,1,,,1,0,0,1,0,0,0,1,1,1,0,0
00004734,2021/9/12,4185000,1,2,,1,,,,1,0,0,0,0,0,0,1,0,1,0,0
00003041,2011/10/26,24177000,2,1,,1,1,,,1,0,1,0,0,0,0,1,0,1,0,0
00003865,2013/3/19,24117000,2,0,1,1,1,,,0,0,0,0,0,0,0,1,0,0,0,0
00009510,2011/10/21,5102000,0,1,,1,1,,,1,1,1,1,0,0,0,1,0,1,0,0
00005774,2013/5/24,1104000,2,4,1,,,,,1,0,1,1,0,0,0,1,0,1,0,0
00006043,2019/3/15,24175000,2,1,,1,1,,,1,0,0,1,0,0,0,1,0,1,1,0
00000646,2013/10/24,,1,1,,1,1,,,1,0,1,1,0,1,0,1,0,1,0,0
00003033,2022/2/15,171000,0,0,,1,,,,0,1,0,1,0,0,0,1,0,1,0,0
00009234,2019/9/30,16127000,2,0,,1,1,,,1,0,0,0,0,0,0,1,0,1,0,0
00004221,2011/9/16,5107000,0,4,,1,1,,,1,0,0,1,0,1,0,1,0,1,0,0
00004347,2013/5/4,170000,0,2,,1,1,,,1,1,1,1,0,0,0,1,1,1,0,0
00000438,2011/2/12,196000,0,0,,,1,,,1,0,0,1,0,0,0,1,0,1,0,0
00006221,2016/7/25,5108000,2,2,,1,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00009961,2020/12/9,5102000,2,1,,,1,,,1,0,1,1,0,0,0,1,0,1,1,0
00004453,2015/6/23,5108000,2,4,,1,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00007874,2011/7/3,0,2,2,,1,1,,,0,0,1,1,0,0,0,1,1,1,0,0
00004239,2015/11/23,0,0,2,,1,,,,1,0,1,1,0,0,0,1,0,1,0,0
00002908,2012/7/10,0,0,0,,1,1,,,1,0,1,1,0,0,0,1,1,1,0,0
00002215,2020/7/18,5108000,2,0,,1,,,,1,0,1,1,0,0,0,1,0,1,0,0
00000159,2018/10/17,0,2,2,,1,1,,,0,0,1,1,0,0,0,1,0,0,0,0
00003742,2011/12/16,1102000,0,1,1,,,,,1,0,1,1,0,1,0,1,0,1,0,0
00000262,2012/12/1,4177000,0,0,,1,,,,1,0,1,1,0,1,0,1,1,0,0,0
00007773,2018/10/21,11198000,0,4,,1,1,,,0,1,0,0,0,0,0,1,0,1,0,0
00005540,2022/8/3,,2,0,,1,1,,,0,1,1,0,0,0,0,1,0,1,0,0
00006993,2016/1/22,28110000,2,2,1,1,1,,,1,0,1,1,0,0,0,1,0,0,0,0
00007614,2019/5/17,0,2,1,,1,1,,,1,1,1,1,0,0,0,1,0,1,0,0
00002681,2016/9/6,1100000,0,1,1,,1,,,1,1,1,1,0,1,0,1,0,0,0,0
00007749,2014/11/16,,2,0,,1,,,,0,0,1,1,0,0,0,1,1,1,0,0
00009418,2016/8/15,,2,0,,1,1,,,1,0,0,0,0,1,0,1,1,1,0,0
00003778,2013/7/8,4179000,2,2,,1,1,,,0,0,1,1,0,0,0,1,0,1,0,0
00001484,2013/4/1,19190000,2,0,,1,1,,,1,0,0,0,0,0,0,1,0,1,0,0
00000340,2010/8/19,,0,2,,1,1,,,1,1,1,1,0,0,0,1,0,1,0,0
00005230,2021/10/30,5109000,2,1,,1,1,,,0,0,0,0,0,0,0,1,0,1,1,0
00005498,2013/11/19,14188000,2,2,,1,1,,,1,0,1,0,0,0,0,1,0,1,0,0
00006071,2018/12/2,15199000,2,2,1,1,,,,0,1,1,0,0,0,0,1,0,1,0,0
00004566,2011/1/24,12126000,2,0,1,,1,,,0,0,1,1,0,0,0,1,1,1,0,0
00004587,2020/9/2,5102000,2,1,,1,,,,1,0,1,1,0,0,0,1,0,0,0,0
00007991,2014/3/21,15110000,0,0,,1,,,,1,1,1,0,0,1,0,1,1,1,0,0
00002420,2013/2/26,5109000,2,2,,1,,,,1,1,1,1,0,0,0,1,1,1,0,0
00002907,2019/1/20,1120000,2,0,,,,,,0,0,0,1,0,1,0,1,0,1,0,0
00006734,2022/8/5,4180000,0,4,,1,,,,0,1,1,1,0,0,0,1,0,1,0,0
00002432,2013/12/27,198000,0,2,,1,1,,,1,0,0,1,0,0,0,1,1,1,0,0
00000399,2022/6/11,1119000,2,2,,1,1,,,1,0,1,1,0,1,0,1,1,1,0,0
00009984,2014/12/21,20166000,2,1,,1,1,,,1,1,0,1,0,1,0,1,0,1,0,0
00009825,2013/10/25,1107000,0,0,,1,1,,,1,1,1,1,0,0,0,1,0,1,0,0
00000412,2022/8/27,0,0,0,,1,1,,,1,0,0,1,0,0,0,1,0,1,0,0
00005542,2014/11/18,10195000,2,2,,1,1,,,0,0,0,0,0,1,0,1,0,1,0,0
00005612,2015/11/21,0,0,2,,1,1,,,0,1,1,1,0,0,0,1,0,1,0,0
00008709,2022/3/23,,2,2,,1,1,,,1,0,1,1,0,0,0,1,0,0,0,0
00004596,2019/9/8,195000,2,0,,1,,,,1,1,1,0,0,0,0,1,0,1,0,0
00008403,2015/10/16,,2,4,,1,,,,0,0,1,1,0,0,0,1,0,1,0,0
00006579,2011/3/20,190000,2,0,,1,1,,,0,1,1,1,0,0,0,1,0,1,0,0
00006365,2021/9/15,12196000,2,0,,1,1,,,1,0,0,0,0,0,0,1,0,1,0,0
00006312,2014/8/21,,2,0,,1,1,,,0,0,1,0,0,0,0,1,1,1,0,0
00004644,2021/12/28,15175000,2,2,,1,1,,,0,0,1,1,0,0,0,1,0,1,0,0
00009003,2020/4/28,0,2,4,,,,,,0,0,1,1,0,0,0,1,0,1,0,0
00009334,2019/3/5,11198000,0,0,,1,1,,,1,0,1,1,0,1,0,1,0,1,0,0
00002221,2013/12/29,4180000,2,2,,1,1,,,0,0,1,1,0,1,0,1,1,1,0,0
00008511,2012/4/9,5101000,0,4,,1,1,,,1,0,0,0,0,0,0,1,0,1,0,0
00007119,2021/12/7,14167000,2,0,,1,1,,,0,0,0,1,0,1,0,1,1,1,1,0
00003616,2013/9/25,14101000,2,0,,1,1,,,1,0,1,0,0,0,0,1,0,1,0,0
00006554,2022/12/19,5102000,0,0,1,1,1,,,1,0,0,1,0,1,0,1,1,0,0,0
00006197,2017/9/21,14168000,2,2,,1,1,,,0,0,0,0,0,0,0,1,1,1,0,0
00005547,2020/1/2,1107000,0,0,,1,1,,,0,0,1,0,0,0,0,1,0,1,0,0
00007570,2016/2/1,4179000,2,0,,,1,,,1,0,0,0,0,1,0,1,0,1,0,0
00003868,2017/12/16,0,2,2,,,,,,0,0,1,1,0,0,0,1,0,1,0,0
00005046,2016/4/12,197000,2,2,,1,1,,,1,0,1,1,0,1,0,1,0,1,0,0
00001694,2016/10/20,0,2,2,,1,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00000933,2019/10/26,,2,0,,1,1,,,1,0,0,1,0,1,0,1,0,1,0,0
00007925,2018/5/16,,0,1,,1,1,,,1,0,1,1,0,1,0,1,0,1,0,0
00008173,2020/4/6,,0,4,1,1,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00000352,2015/2/17,0,2,2,,1,1,,,1,1,1,1,0,0,0,1,0,1,0,0
00005139,2021/11/28,0,2,4,,1,1,,,1,0,0,1,0,0,0,1,1,1,0,0
00001161,2018/3/6,,2,0,,1,1,,,1,0,1,1,0,0,0,1,0,0,0,0
00006158,2020/8/5,12150000,2,0,,1,1,,,1,1,1,0,0,1,0,1,0,1,0,0
00007181,2011/3/11,0,2,1,,1,1,,,1,0,1,0,0,0,0,1,0,1,0,0
00002697,2015/11/18,4178000,2,2,,,1,,,1,0,1,1,0,1,0,1,0,1,0,0
00009028,2011/10/8,1102000,0,0,,1,1,,,1,1,0,1,0,1,0,1,0,1,0,0
00009431,2013/8/16,,2,1,1,1,1,,,1,0,1,0,0,0,0,1,1,1,0,0
00006348,2021/10/9,0,0,0,,1,,,,0,0,1,1,0,1,0,1,0,1,0,0
00009147,2013/7/16,1119000,2,2,,1,1,,,1,1,0,1,0,0,0,1,0,1,0,0
00006547,2022/2/11,0,2,1,,1,1,,,0,0,1,1,0,0,0,1,0,1,0,0
00003566,2016/12/24,,2,2,,1,1,,,1,1,1,1,0,0,0,1,0,1,0,0
00006382,2022/1/20,11196000,2,1,,1,1,,,1,0,0,1,0,0,0,1,0,1,0,0
00003114,2011/6/9,1120000,2,2,,1,,,,1,1,1,1,0,0,0,1,0,1,0,0
00006183,2016/9/15,4180000,1,4,,1,1,,,0,0,1,1,0,0,0,1,1,1,0,0
00001785,2019/5/17,12102000,0,4,,,1,,,0,0,0,0,0,0,0,1,0,1,0,0
00005905,2022/2/20,5109000,0,1,,1,1,,,1,1,0,1,0,0,0,1,0,1,0,0
00003764,2016/11/15,12171000,2,0,,1,,,,0,0,0,0,0,0,0,1,1,1,0,0
00007420,2013/5/19,4178000,0,0,,1,1,,,1,1,1,0,0,0,0,1,0,1,0,0
00005229,2013/2/1,0,0,2,,1,1,,,1,0,1,0,0,0,0,1,1,1,0,0
00002174,2021/1/1,5102000,2,1,,1,1,,,0,0,0,0,0,0,0,1,0,1,0,0
00006151,2016/2/22,0,2,0,,1,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00008239,2014/3/30,24159000,0,4,,1,,,,1,0,1,1,0,0,0,1,1,0,0,0
00002492,2016/2/13,,2,0,,1,1,,,1,0,1,0,0,0,0,1,0,0,0,0
00001716,2020/3/30,22164000,2,2,,1,,,,1,1,1,0,0,1,0,1,0,1,0,0
00005080,2015/12/21,0,0,1,,1,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00009873,2015/6/26,4186000,0,1,,1,,,,1,0,0,1,0,1,0,1,0,1,0,0
00007268,2020/4/13,4184000,1,4,,1,,,,1,0,1,1,0,0,0,1,0,1,0,0
00002695,2015/7/2,1102000,0,0,,1,1,,,0,1,1,1,0,0,0,1,0,1,0,0
00002988,2013/1/2,21106000,2,2,,1,1,,,0,1,1,0,0,1,0,1,0,1,0,0
00001171,2020/5/24,17124000,0,1,,1,,,,0,0,1,0,0,0,0,1,0,1,0,0
00000489,2018/4/24,1120000,0,2,,,,,,0,1,1,1,0,0,0,1,0,1,0,0
00008662,2016/8/11,28112000,0,2,,1,1,,,1,1,1,1,0,1,0,1,0,1,0,0
00006015,2012/2/23,0,2,4,,1,1,,,0,0,1,1,0,0,0,1,0,0,0,0
00009883,2021/3/24,0,2,2,,1,,,,0,0,1,1,0,0,0,1,0,1,0,0
00009299,2011/8/28,0,2,0,,1,1,,,0,1,1,1,0,0,0,1,0,1,0,0
00003879,2016/3/5,4182000,2,1,,1,1,,,1,0,1,1,0,0,0,1,0,1,0,0
00004901,2022/11/20,1104000,2,2,,1,1,,,0,0,1,1,0,0,0,1,1,1,0,0
00002998,2014/8/6,19141000,2,2,,1,1,,,1,0,0,0,0,0,0,1,0,1,0,0
